#,Name,Edition,Edition #,Reference,Category,Notes,Release Date (if known)
57,Super Saiyan Goku,1st Edition,500,Dragon Ball Z,Anime,SDCC 2017 Exclusive,
58,"Donnie ""Ruin"" Walsh","1st Edition (UK, soft)
1st Edition (soft)","504
5,040",Call of Duty: Black Ops 4,Video Games,GameStop Exclusive in the U.S. (sold at other stores internationally),
59,Harley Quinn,1st Edition (hard),756,Injustice 2,Video Games,SDCC 2019 Exclusive,
60,Scorpion,"1st Edition (hard)
2nd Edition","2,364
504",Mortal Kombat X,Video Games,,
61,Female Shepard,TBD,TBD,Mass Effect,Video Games,,
62,Bayek,"1st Edition
2nd Edition
3rd Edition","TBD
TBD
165,000",Assassin's Creed,Video Games,,
63,Altaïr,"1st Edition (hard)
2nd Edition (hard)","982
2,004",Assassin's Creed,Video Games,,
64,Ezio,1st Edition (hard),"1,180",Assassin's Creed,Video Games,,
65,Connor,1st Edition (hard),650,Assassin's Creed,Video Games,,
66,Edward,1st Edition (hard),650,Assassin's Creed,Video Games,,
67,Evan,1st Edition,"14,600",Ni No Kuni II - Revenant Kingdom,Video Games,Best Buy Exclusive (for pre-order of Ni No Kuni II),
68,Aguilar,1st Edition,88,Assassin's Creed,Video Games,,
69,Ezio RARE BLACK + WHITE,1st Edition,100,Assassin's Creed,Video Games,,
70,Altair ULTRA RARE GOLD,1st Edition,10,Assassin's Creed,Video Games,,
71,Super Saiyan Vegeta,1st Edition,536,Dragon Ball Z,Anime,NYCC 2017 Exclusive,
72,Batman,1st Edition (hard),536,DC Universe: Rebirth,DC Comics,NYCC 2017 Exclusive,
73,Elwood Blues,"AP Edition
1st Edition","24
432",The Blues Brothers,Movies,,
74,Jake Blues,"AP Edition
1st Edition","24
432",The Blues Brothers,Movies,,
75,Super Saiyan God Goku,"AP Edition
1st Edition (hard)
2nd Edition (hard)","36
4,008
1,116",Dragon Ball Super,Anime,Target Exclusive (U.S.) - 2nd Edition has been sold internationally (Mexico),
76,Allen Iverson,"AP Edition
1st Edition","54
108",Allen Iverson,Basketball,76ers Exclusive (Online & Arena),
77,Naruto,"1st Edition (hard)
1st Edition (soft)
2nd Edition (hard)
3rd Edition (hard)","4,388
8,164
1,008
504",Naruto Shippuden,Anime,,
78,TBD,TBD,TBD,TBD,TBD,,
79,King Evan,N/A,N/A,Ni No Kuni II - Revenant Kingdom,Video Games,No Plans for Production / Canceled,
80,Roland,N/A,N/A,Ni No Kuni II - Revenant Kingdom,Video Games,No Plans for Production / Canceled,
81,Tani,N/A,N/A,Ni No Kuni II - Revenant Kingdom,Video Games,No Plans for Production / Canceled,
82,King Evan (RARE),N/A,N/A,Ni No Kuni II - Revenant Kingdom,Video Games,No Plans for Production / Canceled,
83,Android 18,1st Edition (soft),"7,500",Dragon Ball FighterZ,Anime,Target Exclusive (Only available with pre-order of Dragon Ball FighterZ),
84,Batman,"AP Edition
1st Edition (hard)
1st Edition (GameStop, soft)
2nd Edition (hard)","36
541
2,820
420",DC Batman Classic,DC Comics,,
85,Robin,1st Edition,792,DC Batman Classic,DC Comics,,
86,Batgirl,1st Edition,792,DC Batman Classic,DC Comics,,
87,The Joker,"1st Edition (hard)
1st Edition (soft)
2nd Edition (hard)","541
2,820
420",DC Batman Classic,DC Comics,,
88,The Penguin,1st Edition,792,DC Batman Classic,DC Comics,,
89,The Riddler,1st Edition (soft),792,DC Batman Classic,DC Comics,,
90,Mickey Mouse,"AP Edition
1st Edition (hard)","36
504",Disney,Disney,,
91,Sakura,1st Edition (hard),"1,008",Naruto Shippuden,Anime,,
92,Sasuke,1st Edition (hard),"1,008",Naruto Shippuden,Anime,,
93,Kakashi,"1st Edition (hard)
1st Edition (soft)","1,008
8,064",Naruto Shippuden,Anime,,
94,Itachi,"1st Edition (hard)
2nd Edition (hard)","1,008
504",Naruto Shippuden,Anime,,
95,Super Saiyan Goku,"AP Edition
1st Edition","36
500",Dragon Ball Z,Anime,NYCC 2018 Exclusive,
96,Krillin,"AP Edition
1st Edition","36
1,000",Dragon Ball FighterZ,Anime,FiGPiN.com Exclusive,
97,Batman (RARE),"1st Edition (hard)
1st Edition (soft)
2nd Edition","137
564
84",DC Batman Classic,DC Comics,,
98,The Joker (RARE),"1st Edition (hard)
1st Edition (soft)","137
564",DC Batman Classic,DC Comics,,
99,Kratos,"1st Edition
2nd Edition","1,441
13,320",God of War,Video Games,,
100,Atreus,1st Edition,756,God of War,Video Games,,
101,Kratos (RARE),1st Edition,612,God of War,Video Games,GameStop Exclusive,
102,The Rock,"AP Edition (hard)
1st Edition (hard)","36
504",WWE SuperStars,WWE (World Wrestling Entertainment),,
103,John Cena,"AP Edition (hard)
1st Edition (hard)","36
476",WWE SuperStars,WWE (World Wrestling Entertainment),,
104,Sasha Banks,1st Edition (hard),360,WWE SuperStars,WWE (World Wrestling Entertainment),,
105,Finn Balor,"AP Edition (hard)
1st Edition (hard)","36
432",WWE SuperStars,WWE (World Wrestling Entertainment),,
106,Roman Reigns,1st Edition (hard),288,WWE SuperStars,WWE (World Wrestling Entertainment),,
107,Seth Rollins,1st Edition (hard),288,WWE SuperStars,WWE (World Wrestling Entertainment),,
108,John Cena (RARE),"AP Edition (hard)
1st Edition (hard)","36
28",WWE SuperStars,WWE (World Wrestling Entertainment),,
109,Iron Man,1st Edition (hard),"1,944",Avengers: Infinity War,Marvel,,
110,Black Panther,"AP Edition
1st Edition
2nd Edition","36
648
2,592",Avengers: Infinity War,Marvel,,
111,Iron Spider,"1st Edition (hard)
2nd Edition
3rd Edition
4th Edition","648
1,944
TBD
504",Avengers: Infinity War,Marvel,,
112,Thanos,"1st Edition (hard)
2nd Edition (hard)","612
2,448",Avengers: Infinity War,Marvel,,
113,Thanos (RARE),"AP Edition (hard)
1st Edition (hard)
2nd Edition (hard)","72
36
144",Avengers: Infinity War,Marvel,,
114,Crash Bandicoot,1st Edition (hard),"9,990",Crash Bandicoot,Video Games,,
115,Crash Bandicoot Aku Aku,1st Edition (hard),"5,562",Crash Bandicoot,Video Games,,
116,Super Saiyan God Super Saiyan Goku,"1st Edition (soft)
1st Edition (hard)
1st Edition (B&N)
2nd Edition
3rd Edition","3,780
6,282
1,242
TBD
1,008",Dragon Ball FighterZ,Anime,,
117,Super Saiyan God Super Saiyan Vegeta,"1st Edition (soft)
1st Edition (hard)
1st Edition (B&N)
2nd Edition
3rd Edition","3,780
6,282
1,242
TBD
1,008",Dragon Ball FighterZ,Anime,,
118,Spider-Man,"AP Edition
AP Edition
AP Edition
1st Edition (GameStop, soft)
1st Edition","48
56
72
1,008
5,232",Spider-Man Game,Marvel / Video Games,,
119,Marvel's Spider-Man,"AP Edition
1st Edition
2nd Edition","50
50,000
41,800",Spider-Man Game,Marvel / Video Games,,
120,Spider-Punk,1st Edition,"8,952",Spider-Man Game,Marvel / Video Games,,
121,Goku Black,"1st Edition (hard)
1st Edition (soft)","3,024
3,780",Dragon Ball Super,Anime,,
122,Beerus,"1st Edition (hard)
1st Edition (soft)","2,520
3,780",Dragon Ball Super,Anime,,
123,Mr. Incredible,1st Edition (hard),504,Incredibles 2,Disney,d23 2019 Exclusive (5-pack Set),
124,Elastigirl,1st Edition (hard),504,Incredibles 2,Disney,d23 2019 Exclusive (5-pack Set),
125,Violet,1st Edition (hard),504,Incredibles 2,Disney,d23 2019 Exclusive (5-pack Set),
126,Dash,1st Edition (hard),504,Incredibles 2,Disney,d23 2019 Exclusive (5-pack Set),
127,"Edna ""E"" Mode",1st Edition (hard),504,Incredibles 2,Disney,d23 2019 Exclusive (5-pack Set),
128,Bruno,1st Edition,"34,685",Call of Duty: Black Ops 4,Video Games,Collector Edition Exclusive (4-pack),
129,Stanton,1st Edition,"34,685",Call of Duty: Black Ops 4,Video Games,Collector Edition Exclusive (4-pack),
130,Diego,1st Edition,"34,685",Call of Duty: Black Ops 4,Video Games,Collector Edition Exclusive (4-pack),
131,Scarlett,1st Edition,"34,685",Call of Duty: Black Ops 4,Video Games,Collector Edition Exclusive (4-pack),
132,Tracer,"1st Edition (BAM)
1st Edition (Target)
1st Edition
1st Edition (GameStop)","1,008
5,208
8,074
90,060",Overwatch,Video Games,,
133,D. Va,"AP Edition
1st Edition (BAM)
1st Edition (Target)
1st Edition (GameStop)","36
1,008
5,208
90,060",Overwatch,Video Games,,
134,Soldier: 76,"1st Edition
1st Edition
1st Edition (Target)","235
3,120
5,208",Overwatch,Video Games,,
135,Izuku Midoriya,"AP Edition
1st Edition (Funimation 2PK, hard)
2nd Edition
2nd Edition (hard)
2nd Edition (hard)
2nd Edition (Target, soft)
2nd Edition (GameStop, soft)","36
504
330
1,008
2,016
6,048
8,264",My Hero Academia,Anime,,
136,All Might,"1st Edition (Funimation 2PK, hard)
2nd Edition
2nd Edition (hard)
2nd Edition (Target, soft)
3rd Edition (hard)","504
576
1,008
6,048
2,016",My Hero Academia,Anime,,
137,Thor,"1st Edition (hard)
1st Edition (soft)","972
2,116",Avengers: Infinity War,Marvel,,
138,Captain America,"AP Edition
1st Edition (hard)
1st Edition (soft)","36
1,008
2,116",Avengers: Infinity War,Marvel,,
139,Gamora,"AP Edition
1st Edition (hard)
1st Edition (soft)","36
900
2,116",Avengers: Infinity War,Marvel,,
140,Star-Lord,"1st Edition (hard)
1st Edition (soft)","900
2,116",Avengers: Infinity War,Marvel,,
141,Solaire of Astora,1st Edition,756,Dark Souls,Video Games,,
142,Praise the Sun Solaire,1st Edition,252,Dark Souls,Video Games,FiGPiN.com Exclusive,
143,Dragonslayer Ornstein,"AP Edition
1st Edition","18
504",Dark Souls,Video Games,,
144,Siegmeyer of Catarina,1st Edition,504,Dark Souls,Video Games,,
145,Sora,"1st edition (Best Buy, soft)
1st edition (GameStop, soft)
2nd Edition (FiGPiN.com)
2nd edition (Target, hard)","2,088
7,732
144
480",Kingdom Hearts,Video Games,,
